
created_at	id	name	operator	rn1
1435155367210	6ad17815-f2f2-4760-8e8e-77fd673e65d2	wireless	other	wireless
1435155367210	ac23f9e7-df80-4ec4-b749-8ce38ec1437b	linktel	other	linktel
1435155367210	258d6ee0-579c-4f6e-b46e-1d5a762e7363	agencia	other	agencia
1435155367210	bba47242-026a-4b63-87c1-9163a7e0602b	ggnet	other	ggnet
1435155367210	0a19ad06-14ad-4adb-b488-807ad34f7812	bcmg	other	bcmg
1435155367210	7a7797be-b12b-49d5-a207-9a50b2f091b9	aue	other	aue
1435155367210	d345e7e7-4bf3-4727-be70-302aba6a711b	tpa	other	tpa
1435155367210	7f2dd0c0-fba1-4967-bb69-63e75dae1c6a	hello	other	hello
1435155367210	26f31deb-753d-4e6f-9a59-3080f6b9d399	morango	other	morango
1435155367210	d9be79d6-6de2-4589-a40b-98616865e6e0	equant	other	equant
1435154935900	03de7fb6-7d84-40a9-92f3-9baa68cdaa6e	ctbctelecom	other	ctbctelecom
1435154935900	22ae2da9-2e91-4683-8463-9fdb38640a74	telemar/al	other	telemar/al
1435154935900	29dbe46d-8363-4a68-a656-51d1b6c2a6f6	itavoice	other	itavoice
1435154935900	6ea04fa3-fe07-4d1e-96d2-5520d28738c8	aerotech	other	aerotech
1435154935900	800ddf00-a021-4f83-b1eb-9f96366c5361	transit	other	transit
1435154935900	77c43dea-4080-4862-ac6c-368f229cee68	global	other	global
1435148627095	865a3f00-6f81-4d4a-8ac6-ef5a6c0229dc	55321	other	55321
1435148627095	992defcc-1160-4e9b-8fe1-67ac49dd53bb	55312	other	55312
1435154935900	8a304296-b64f-48af-98f4-7f9e94925d79	local	other	local
1435154935900	b3ef444b-7d08-4383-826a-e49c9d8a093f	oi	other	oi
1435155367210	345c7583-8f6e-4088-bc13-98b97de2afaa	neotelecom	other	neotelecom
1435155367210	3423c419-5483-4d7e-8b5b-d272109d9088	companhia	other	companhia
1435155367210	58034f1b-e8fa-4520-813a-e8e3bb49358b	ibituruna	other	ibituruna
1435154935900	cdca7f25-34ec-40d0-8e4f-ecf2aa3ee77f	ultranet	other	ultranet
1435154935900	b14ce52b-ecea-468e-9f90-c68b28249d41	networld	other	networld
1435155367210	4105326d-45a2-4cd8-ae0a-8e8e07514663	vipway	other	vipway
1435155367210	2161cafd-8f8f-4ef1-89eb-dad45d3f90d1	vonex	other	vonex
1435155367210	469a9306-5d46-47ee-873e-08a8b84a4f13	spin	other	spin
1435154935900	f6edcd8f-5f00-48f5-8f99-29cac6ea4e2b	sdw	other	sdw
1435155367210	4e847467-f783-4012-a667-d31ca4cd9ff2	brasilfone	other	brasilfone
1435155367210	eac351c7-efbb-469e-9846-cee103805e7f	sercomtel	other	sercomtel
1435155367210	1a1a632c-be1b-4bd9-80eb-ee390dfb2f5f	ampernet	other	ampernet
1435155367210	3810b345-3079-43e0-b6b2-d9e9d125df34	alpamayo	other	alpamayo
